DISTRICT,INSTITUTE NAME,BRANCH NAME,SEAT TYPE,MODIFIED SEAT TYPE,CLOSING RANK,GENDER
Bhubaneswar,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",OPEN,OPEN,13317.0,Gender-Neutral
Bhubaneswar,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",OPEN,OPEN,21121.0,Female-only
Bhubaneswar,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",EWS,EWS,2105.0,Gender-Neutral
Bhubaneswar,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",EWS,EWS,3815.0,Female-only
Bhubaneswar,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",OBC-NCL,OBC,5138.0,Gender-Neutral
Bhubaneswar,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",OBC-NCL,OBC,8530.0,Female-only
Bhubaneswar,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",SC,SC,2562.0,Gender-Neutral
Bhubaneswar,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",SC,SC,4293.0,Female-only
Bhubaneswar,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",ST,ST,977.0,Gender-Neutral
Bhubaneswar,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",ST,ST,1750.0,Female-only
Bhubaneswar,Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN,OPEN,3454.0,Gender-Neutral
Bhubaneswar,Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN,OPEN,7457.0,Female-only
Bhubaneswar,Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN (PwD),OPEN,197.0,Female-only
Bhubaneswar,Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",EWS,EWS,415.0,Gender-Neutral
Bhubaneswar,Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",EWS,EWS,1025.0,Female-only
Bhubaneswar,Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OBC-NCL,OBC,1225.0,Gender-Neutral
Bhubaneswar,Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OBC-NCL,OBC,2661.0,Female-only
Bhubaneswar,Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OBC-NCL (PwD),OBC-NCL,31.0,Gender-Neutral
Bhubaneswar,Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",SC,SC,596.0,Gender-Neutral
Bhubaneswar,Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",SC,SC,1313.0,Female-only
Bhubaneswar,Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",SC (PwD),SC,30.0,Gender-Neutral
Bhubaneswar,Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",ST,ST,356.0,Gender-Neutral
Bhubaneswar,Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",ST,ST,649.0,Female-only
Bhubaneswar,Indian Institute of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",OPEN,OPEN,6685.0,Gender-Neutral
Bhubaneswar,Indian Institute of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",OPEN,OPEN,14183.0,Female-only
Bhubaneswar,Indian Institute of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",OPEN (PwD),OPEN,262.0,Gender-Neutral
Bhubaneswar,Indian Institute of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",EWS,EWS,1151.0,Gender-Neutral
Bhubaneswar,Indian Institute of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",EWS,EWS,2249.0,Female-only
Bhubaneswar,Indian Institute of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,OBC,2868.0,Gender-Neutral
Bhubaneswar,Indian Institute of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,OBC,6491.0,Female-only
Bhubaneswar,Indian Institute of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",SC,SC,1674.0,Gender-Neutral
Bhubaneswar,Indian Institute of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",SC,SC,2081.0,Female-only
Bhubaneswar,Indian Institute of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",ST,ST,792.0,Gender-Neutral
